Code	Indicator	Name
MF	LY		AARON
FO	LY		ABBEY
FO	LN		ABBIE
FO	LY		ABBY
MO	LY		ABDUL
MO	LY		ABE
MO	LY		ABEL
FO	LN		ABIGAIL
MO	LY		ABRAHAM
MO	LY		ABRAM
FO	LY		ADA
FO	LN		ADAH
MO	LN		ADALBERTO
FO	LN		ADALINE
MF	LY		ADAM
MO	LY		ADAN
FO	LY		ADDIE
FO	LN		ADELA
FO	LN		ADELAIDA
FO	LN		ADELAIDE
FO	LN		ADELE
FO	LN		ADELIA
FO	LN		ADELINA
FO	LN		ADELINE
FO	LY		ADELL
FO	LN		ADELLA
FO	LN		ADELLE
FO	LN		ADENA
FO	LN		ADINA
MO	LY		ADOLFO
MO	LY		ADOLPH
FO	LN		ADRIA
MF	LY		ADRIAN
FO	LN		ADRIANA
FO	LN		ADRIANE
FO	LN		ADRIANNA
FO	LN		ADRIANNE
FO	LY		ADRIEN
FO	LN		ADRIENE
FO	LN		ADRIENNE
FO	LY		AFTON
FO	LN		AGATHA
FO	LY		AGNES
FO	LN		AGNUS
FO	LN		AGRIPINA
FO	LY		AGUEDA
MO	LY		AGUSTIN
FO	LN		AGUSTINA
MO	LY		AHMAD
MO	LY		AHMED
FO	LN		AI
FO	LN		AIDA
FO	LN		AIDE
FO	LN		AIKO
FO	LN		AILEEN
FO	LN		AILENE
FO	LN		AIMEE
FO	LN		AISHA
FO	LY		AJA
FO	LN		AKIKO
FO	LN		AKILAH
MO	LN		AL
FO	LN		ALAINA
FO	LN		ALAINE
MO	LY		ALAN
FO	LN		ALANA
FO	LN		ALANE
FO	LN		ALANNA
FO	LN		ALAYNA
FO	LY		ALBA
MF	LY		ALBERT
FO	LY		ALBERTA
FO	LN		ALBERTHA
FO	LN		ALBERTINA
FO	LY		ALBERTINE
MO	LY		ALBERTO
FO	LN		ALBINA
FO	LN		ALDA
MO	LY		ALDEN
MO	LY		ALDO
FO	LN		ALEASE
MO	LN		ALEC
FO	LN		ALECIA
FO	LN		ALEEN
FO	LN		ALEIDA
FO	LN		ALEISHA
FO	LN		ALEJANDRA
FO	LN		ALEJANDRINA
MO	LY		ALEJANDRO
FO	LN		ALENA
FO	LN		ALENE
FO	LN		ALESHA
FO	LN		ALESHIA
FO	LN		ALESIA
FO	LN		ALESSANDRA
FO	LN		ALETA
FO	LN		ALETHA
FO	LN		ALETHEA
FO	LN		ALETHIA
MF	LY		ALEX
FO	LN		ALEXA
MF	LY		ALEXANDER
FO	LY		ALEXANDRA
FO	LY		ALEXANDRIA
FO	LN		ALEXIA
MF	LY		ALEXIS
MO	LY		ALFONSO
MO	LY		ALFONZO
MO	LY		ALFRED
FO	LN		ALFREDA
FO	LN		ALFREDIA
MO	LY		ALFREDO
MF	LY		ALI
FO	LN		ALIA
FO	LN		ALICA
FO	LY		ALICE
FO	LY		ALICIA
FO	LN		ALIDA
FO	LN		ALINA
FO	LY		ALINE
FO	LN		ALISA
FO	LN		ALISE
FO	LN		ALISHA
FO	LN		ALISHIA
FO	LN		ALISIA
FO	LY		ALISON
FO	LN		ALISSA
FO	LN		ALITA
FO	LY		ALIX
FO	LN		ALIZA
FO	LN		ALLA
MO	LY		ALLAN
FO	LN		ALLEEN
FO	LY		ALLEGRA
MF	LY		ALLEN
FO	LN		ALLENA
FO	LN		ALLENE
FO	LY		ALLIE
FO	LN		ALLINE
FO	LY		ALLISON
FO	LY		ALLYN
FO	LN		ALLYSON
FO	LY		ALMA
FO	LY		ALMEDA
FO	LN		ALMETA
FO	LN		ALONA
MO	LY		ALONSO
MO	LY		ALONZO
FO	LY		ALPHA
MO	LY		ALPHONSE
MO	LY		ALPHONSO
FO	LN		ALTA
FO	LN		ALTAGRACIA
FO	LN		ALTHA
FO	LN		ALTHEA
MO	LY		ALTON
MF	LY		ALVA
MO	LY		ALVARO
FO	LN		ALVERA
FO	LN		ALVERTA
MO	LY		ALVIN
FO	LN		ALVINA
FO	LN		ALYCE
FO	LN		ALYCIA
FO	LN		ALYSA
FO	LN		ALYSE
FO	LN		ALYSHA
FO	LN		ALYSIA
FO	LN		ALYSON
FO	LN		ALYSSA
FO	LN		AMADA
MO	LY		AMADO
FO	LN		AMAL
FO	LN		AMALIA
FO	LN		AMANDA
FO	LY		AMBER
FO	LN		AMBERLY
MO	LY		AMBROSE
FO	LN		AMEE
FO	LN		AMELIA
FO	LY		AMERICA
FO	LN		AMI
FO	LY		AMIE
FO	LN		AMIEE
FO	LN		AMINA
FO	LN		AMIRA
FO	LN		AMMIE
MO	LY		AMOS
FO	LY		AMPARO
FO	LY		AMY
FO	LY		AN
FO	LY		ANA
FO	LN		ANABEL
FO	LN		ANALISA
FO	LN		ANAMARIA
FO	LN		ANASTACIA
FO	LY		ANASTASIA
FO	LY		ANDERA
MO	LY		ANDERSON
FO	LY		ANDRA
MF	LY		ANDRE
MF	LY		ANDREA
MO	LY		ANDREAS
FO	LY		ANDREE
MO	LY		ANDRES
MF	LY		ANDREW
FO	LN		ANDRIA
MO	LY		ANDY
FO	LN		ANETTE
MF	LY		ANGEL
FO	LY		ANGELA
FO	LN		ANGELE
FO	LN		ANGELENA
FO	LY		ANGELES
FO	LN		ANGELIA
FO	LN		ANGELIC
FO	LY		ANGELICA
FO	LN		ANGELIKA
FO	LN		ANGELINA
FO	LY		ANGELINE
FO	LN		ANGELIQUE
FO	LN		ANGELITA
FO	LN		ANGELLA
MF	LY		ANGELO
FO	LN		ANGELYN
FO	LN		ANGIE
FO	LN		ANGILA
FO	LN		ANGLA
FO	LY		ANGLE
FO	LY		ANGLEA
FO	LN		ANH
MO	LY		ANIBAL
FO	LN		ANIKA
FO	LN		ANISA
FO	LN		ANISHA
FO	LN		ANISSA
FO	LN		ANITA
FO	LN		ANITRA
FO	LN		ANJA
FO	LN		ANJANETTE
FO	LN		ANJELICA
