State		Name		Frequency 		CumlFreq		Rank		City
US-TX		SMITH		1.006		1.006		1		Houston
US-TX		JOHNSON		0.81		1.816		2		Houston
US-TX		WILLIAMS		0.699		2.515		3		Houston
US-TX		JONES		0.621		3.136		4		Houston
US-TX		BROWN		0.621		3.757		5		Dallas
US-TX		DAVIS		0.48		4.237		6		Austin
US-TX		MILLER		0.424		4.66		7		Dallas
US-TX		WILSON		0.339		5		8		Austin
US-TX		MOORE		0.312		5.312		9		Houston
US-TX		TAYLOR		0.311		5.623		10		Dallas
US-TX		ANDERSON		0.311		5.934		11		Austin
US-TX		THOMAS		0.311		6.245		12		Dallas
US-TX		JACKSON		0.31		6.554		13		Houston
US-TX		WHITE		0.279		6.834		14		Austin
US-TX		HARRIS		0.275		7.109		15		Austin
US-TX		MARTIN		0.273		7.382		16		Dallas
US-TX		THOMPSON		0.269		7.651		17		Houston
US-TX		GARCIA		0.254		7.905		18		Houston
US-TX		MARTINEZ		0.234		8.14		19		Houston
US-TX		ROBINSON		0.233		8.372		20		Austin
US-TX		CLARK		0.231		8.603		21		Houston
US-TX		RODRIGUEZ		0.229		8.832		22		Austin
US-TX		LEWIS		0.226		9.058		23		Austin
US-TX		LEE		0.22		9.278		24		Dallas
US-TX		WALKER		0.219		9.497		25		Dallas
US-TX		HALL		0.2		9.698		26		Dallas
US-TX		ALLEN		0.199		9.897		27		Houston
US-TX		YOUNG		0.193		10.09		28		Houston
US-TX		HERNANDEZ		0.192		10.282		29		Austin
US-TX		KING		0.19		10.472		30		Dallas
US-TX		WRIGHT		0.189		10.662		31		Austin
US-TX		LOPEZ		0.187		10.849		32		Houston
US-TX		HILL		0.187		11.035		33		Dallas
US-TX		SCOTT		0.185		11.22		34		Austin
US-TX		GREEN		0.183		11.403		35		Austin
US-TX		ADAMS		0.174		11.577		36		Houston
US-TX		BAKER		0.171		11.748		37		Houston
US-TX		GONZALEZ		0.166		11.915		38		Austin
US-TX		NELSON		0.162		12.077		39		Dallas
US-TX		CARTER		0.162		12.239		40		Dallas
US-TX		MITCHELL		0.16		12.399		41		Houston
US-TX		PEREZ		0.155		12.554		42		Dallas
US-TX		ROBERTS		0.153		12.707		43		Dallas
US-TX		TURNER		0.152		12.859		44		Austin
US-TX		PHILLIPS		0.149		13.008		45		Austin
US-TX		CAMPBELL		0.149		13.157		46		Austin
US-TX		PARKER		0.146		13.302		47		Austin
US-TX		EVANS		0.141		13.443		48		Austin
US-TX		EDWARDS		0.137		13.58		49		Dallas
US-TX		COLLINS		0.134		13.714		50		Houston
US-TX		STEWART		0.133		13.847		51		Houston
US-TX		SANCHEZ		0.13		13.977		52		Dallas
US-TX		MORRIS		0.125		14.102		53		Houston
US-TX		ROGERS		0.123		14.225		54		Dallas
US-TX		REED		0.122		14.347		55		Austin
US-TX		COOK		0.12		14.467		56		Houston
US-TX		MORGAN		0.118		14.585		57		Houston
US-TX		BELL		0.117		14.702		58		Dallas
US-TX		MURPHY		0.117		14.819		59		Houston
US-TX		BAILEY		0.115		14.934		60		Austin
US-TX		RIVERA		0.113		15.047		61		Houston
US-TX		COOPER		0.113		15.16		62		Dallas
US-TX		RICHARDSON		0.112		15.272		63		Houston
US-TX		COX		0.11		15.382		64		Houston
US-TX		HOWARD		0.11		15.492		65		Austin
US-TX		WARD		0.108		15.6		66		Dallas
US-TX		TORRES		0.108		15.708		67		Austin
US-TX		PETERSON		0.107		15.815		68		Dallas
US-TX		GRAY		0.106		15.921		69		Houston
US-TX		RAMIREZ		0.105		16.026		70		Austin
US-TX		JAMES		0.105		16.131		71		Austin
US-TX		WATSON		0.103		16.233		72		Houston
US-TX		BROOKS		0.103		16.336		73		Houston
US-TX		KELLY		0.102		16.438		74		Austin
US-TX		SANDERS		0.1		16.537		75		Dallas
US-TX		PRICE		0.099		16.637		76		Houston
US-TX		BENNETT		0.099		16.736		77		Austin
US-TX		WOOD		0.098		16.834		78		Austin
US-TX		BARNES		0.097		16.931		79		Houston
US-TX		ROSS		0.096		17.027		80		Austin
US-TX		HENDERSON		0.095		17.122		81		Houston
US-TX		COLEMAN		0.095		17.217		82		Austin
US-TX		JENKINS		0.095		17.312		83		Houston
US-TX		PERRY		0.094		17.406		84		Austin
US-TX		POWELL		0.093		17.499		85		Austin
US-TX		LONG		0.092		17.591		86		Houston
US-TX		PATTERSON		0.092		17.684		87		Austin
US-TX		HUGHES		0.092		17.776		88		Austin
US-TX		FLORES		0.092		17.868		89		Dallas
US-TX		WASHINGTON		0.092		17.959		90		Austin
US-TX		BUTLER		0.091		18.05		91		Dallas
US-TX		SIMMONS		0.091		18.141		92		Houston
US-TX		FOSTER		0.091		18.231		93		Austin
US-TX		GONZALES		0.087		18.318		94		Austin
US-TX		BRYANT		0.087		18.405		95		Austin
US-TX		ALEXANDER		0.085		18.49		96		Dallas
US-TX		RUSSELL		0.085		18.574		97		Dallas
US-TX		GRIFFIN		0.084		18.659		98		Dallas
US-TX		DIAZ		0.084		18.742		99		Dallas
US-TX		HAYES		0.083		18.825		100		Dallas
US-TX		MYERS		0.083		18.908		101		Dallas
US-TX		FORD		0.082		18.99		102		Dallas
US-TX		HAMILTON		0.082		19.072		103		Dallas
US-TX		GRAHAM		0.082		19.154		104		Austin
US-TX		SULLIVAN		0.081		19.234		105		Dallas
US-TX		WALLACE		0.081		19.315		106		Dallas
US-TX		WOODS		0.08		19.395		107		Austin
US-TX		COLE		0.08		19.476		108		Houston
US-TX		WEST		0.08		19.555		109		Dallas
US-TX		JORDAN		0.078		19.634		110		Austin
US-TX		OWENS		0.078		19.711		111		Dallas
US-TX		REYNOLDS		0.078		19.789		112		Dallas
US-TX		FISHER		0.077		19.866		113		Dallas
US-TX		ELLIS		0.077		19.943		114		Houston
US-TX		HARRISON		0.076		20.019		115		Houston
US-TX		GIBSON		0.075		20.094		116		Austin
US-TX		MCDONALD		0.075		20.169		117		Houston
US-TX		CRUZ		0.075		20.244		118		Dallas
US-TX		MARSHALL		0.075		20.319		119		Dallas
US-TX		ORTIZ		0.075		20.394		120		Austin
US-TX		GOMEZ		0.075		20.468		121		Houston
US-TX		MURRAY		0.074		20.543		122		Austin
US-TX		FREEMAN		0.074		20.617		123		Dallas
US-TX		WELLS		0.073		20.69		124		Houston
US-TX		WEBB		0.072		20.762		125		Dallas
US-TX		SIMPSON		0.07		20.832		126		Austin
US-TX		STEVENS		0.07		20.902		127		Houston
US-TX		TUCKER		0.07		20.971		128		Austin
US-TX		PORTER		0.069		21.041		129		Houston
US-TX		HUNTER		0.069		21.11		130		Dallas
US-TX		HICKS		0.069		21.178		131		Houston
US-TX		CRAWFORD		0.068		21.246		132		Houston
US-TX		HENRY		0.068		21.314		133		Austin
US-TX		BOYD		0.068		21.381		134		Dallas
US-TX		MASON		0.068		21.449		135		Dallas
US-TX		MORALES		0.067		21.516		136		Austin
US-TX		KENNEDY		0.067		21.582		137		Austin
US-TX		WARREN		0.067		21.649		138		Dallas
US-TX		DIXON		0.066		21.715		139		Dallas
US-TX		RAMOS		0.066		21.782		140		Houston
US-TX		REYES		0.066		21.848		141		Austin
US-TX		BURNS		0.065		21.913		142		Houston
US-TX		GORDON		0.065		21.978		143		Austin
US-TX		SHAW		0.065		22.043		144		Houston
US-TX		HOLMES		0.065		22.108		145		Austin
US-TX		RICE		0.064		22.172		146		Dallas
US-TX		ROBERTSON		0.064		22.236		147		Austin
US-TX		HUNT		0.063		22.299		148		Dallas
US-TX		BLACK		0.063		22.362		149		Houston
US-TX		DANIELS		0.062		22.425		150		Austin
US-TX		PALMER		0.062		22.487		151		Austin
US-TX		MILLS		0.061		22.547		152		Houston
US-TX		NICHOLS		0.06		22.607		153		Austin
US-TX		GRANT		0.06		22.667		154		Dallas
US-TX		KNIGHT		0.06		22.727		155		Houston
US-TX		FERGUSON		0.059		22.786		156		Dallas
US-TX		ROSE		0.059		22.845		157		Houston
US-TX		STONE		0.059		22.904		158		Austin
US-TX		HAWKINS		0.059		22.963		159		Austin
US-TX		DUNN		0.058		23.022		160		Houston
US-TX		PERKINS		0.058		23.079		161		Austin
US-TX		HUDSON		0.058		23.137		162		Houston
US-TX		SPENCER		0.057		23.194		163		Austin
US-TX		GARDNER		0.057		23.251		164		Dallas
US-TX		STEPHENS		0.057		23.308		165		Houston
US-TX		PAYNE		0.057		23.365		166		Dallas
US-TX		PIERCE		0.056		23.421		167		Houston
